date,entity_id,reported_pnl_total,actual_pnl_total,margin_call_amount,funding_transfer,realized_cash_delta,hidden_loss_total,fraud_label
1995-01-09,BFS_SINGAPORE,-4530729.24,-4639104.39,1391731.32,167007.76,-4806112.15,108375.15,0
1995-01-10,BFS_SINGAPORE,-4229460.99,-4343983.21,1303194.96,156383.4,-4500366.61,114522.22,0
1995-01-11,BFS_SINGAPORE,-4174691.01,-4272252.1,1324398.15,158927.78,-4431179.88,97561.09,0
1995-01-12,BFS_SINGAPORE,-4267657.95,-4378828.34,1401225.07,168147.01,-4546975.34,111170.39,0
1995-01-13,BFS_SINGAPORE,-6602933.35,-6757715.71,2297623.34,275714.8,-7033430.52,154782.37,0
1995-01-16,BFS_SINGAPORE,-4295349.5,-4404154.76,1541454.17,184974.5,-4589129.26,108805.27,0
1995-01-17,BFS_SINGAPORE,-14537710.76,-14880506.82,7142643.27,857117.19,-15737624.01,342796.05,0
1995-01-18,BFS_SINGAPORE,-15546032.44,-15903869.5,8429050.84,1011486.1,-16915355.6,357837.06,0
1995-01-19,BFS_SINGAPORE,-8608102.89,-8857100.57,4517121.29,542054.55,-9399155.12,248997.68,0
1995-01-20,BFS_SINGAPORE,-9624920.49,-9880298.87,4940149.44,592817.93,-10473116.8,255378.39,0
1995-01-23,BFS_SINGAPORE,-11444065.54,-11710030.06,5737914.73,688549.77,-12398579.83,265964.52,0
1995-01-24,BFS_SINGAPORE,-12328633.04,-12622991.46,6059035.9,727084.31,-13350075.76,294358.42,0
1995-01-25,BFS_SINGAPORE,-10649018.41,-10913135.6,5129173.73,615500.85,-11528636.45,264117.19,0
1995-01-26,BFS_SINGAPORE,-9960540.74,-10192273.86,4688445.97,562613.52,-10754887.37,231733.11,0
1995-01-27,BFS_SINGAPORE,-7757819.53,-7973745.11,3588185.3,430582.24,-8404327.35,215925.58,0
1995-01-30,BFS_SINGAPORE,-11584915.43,-11851575.89,5451724.91,654206.99,-12505782.87,266660.46,0
1995-01-31,BFS_SINGAPORE,-11904732.85,-12178754.83,5724014.77,686881.77,-12865636.6,274021.98,0
