date,entity_id,reconciliation_breaks,late_entries,backdated_entries,unresolved_break_value,fraud_label
1995-01-09,BFS_SINGAPORE,4,8,2,438960.0,0
1995-01-10,BFS_SINGAPORE,5,7,3,548700.0,0
1995-01-11,BFS_SINGAPORE,5,8,3,553350.0,0
1995-01-12,BFS_SINGAPORE,5,5,3,558000.0,0
1995-01-13,BFS_SINGAPORE,4,8,3,453840.0,0
1995-01-16,BFS_SINGAPORE,7,6,3,800730.0,0
1995-01-17,BFS_SINGAPORE,5,6,3,632400.0,0
1995-01-18,BFS_SINGAPORE,7,7,4,917910.0,0
1995-01-19,BFS_SINGAPORE,3,7,2,387810.0,0
1995-01-20,BFS_SINGAPORE,7,9,3,898380.0,0
1995-01-23,BFS_SINGAPORE,4,7,3,509640.0,0
1995-01-24,BFS_SINGAPORE,9,5,5,1138320.0,0
1995-01-25,BFS_SINGAPORE,4,7,3,502200.0,0
1995-01-26,BFS_SINGAPORE,6,7,2,747720.0,0
1995-01-27,BFS_SINGAPORE,4,6,3,494760.0,0
1995-01-30,BFS_SINGAPORE,6,7,3,747720.0,0
1995-01-31,BFS_SINGAPORE,7,9,4,878850.0,0
1995-02-01,BFS_SINGAPORE,3,7,4,373860.0,0
1995-02-02,BFS_SINGAPORE,8,8,5,989520.0,0
1995-02-03,BFS_SINGAPORE,6,8,2,736560.0,0
1995-02-06,BFS_SINGAPORE,7,7,3,852810.0,0
1995-02-07,BFS_SINGAPORE,6,6,3,725400.0,0
1995-02-08,BFS_SINGAPORE,6,8,5,719820.0,0
1995-02-09,BFS_SINGAPORE,5,4,3,595200.0,0
1995-02-10,BFS_SINGAPORE,3,7,4,357120.0,0
1995-02-13,BFS_SINGAPORE,5,6,2,599850.0,0
1995-02-14,BFS_SINGAPORE,7,7,3,839790.0,0
1995-02-15,BFS_SINGAPORE,6,6,3,725400.0,0
1995-02-16,BFS_SINGAPORE,5,6,4,609150.0,0
1995-02-17,BFS_SINGAPORE,6,7,4,736560.0,0
1995-02-20,BFS_SINGAPORE,6,7,2,742140.0,0
1995-02-21,BFS_SINGAPORE,8,7,3,996960.0,0
1995-02-22,BFS_SINGAPORE,6,7,3,758880.0,0
1995-02-23,BFS_SINGAPORE,7,7,3,904890.0,0
1995-02-24,BFS_SINGAPORE,6,4,2,792360.0,0
1995-02-27,BFS_SINGAPORE,6,6,4,803520.0,0
1995-02-28,BFS_SINGAPORE,7,6,2,911400.0,0
1995-03-01,BFS_SINGAPORE,3,10,3,386217.35,0
1995-03-02,BFS_SINGAPORE,6,5,3,778808.53,0
1995-03-03,BFS_SINGAPORE,4,7,2,517029.28,0
1995-03-04,BFS_SINGAPORE,5,8,3,643277.72,0
1995-03-05,BFS_SINGAPORE,5,8,3,652588.19,0
1995-03-06,BFS_SINGAPORE,5,8,3,656635.63,0
1995-03-07,BFS_SINGAPORE,7,7,3,923920.1,0
1995-03-08,BFS_SINGAPORE,9,6,5,1183803.4,0
1995-03-09,BFS_SINGAPORE,8,9,5,1056944.57,0
1995-03-10,BFS_SINGAPORE,6,7,2,789769.76,0
1995-03-11,BFS_SINGAPORE,4,8,3,529643.08,0
1995-03-12,BFS_SINGAPORE,6,4,2,786227.03,0
1995-03-13,BFS_SINGAPORE,9,9,3,1175801.8,0
1995-03-14,BFS_SINGAPORE,5,5,4,657777.26,0
1995-03-15,BFS_SINGAPORE,6,5,2,790774.92,0
1995-03-16,BFS_SINGAPORE,6,6,3,784251.91,0
1995-03-17,BFS_SINGAPORE,5,5,3,661048.08,0
1995-03-18,BFS_SINGAPORE,9,6,3,1188381.14,1
1995-03-19,BFS_SINGAPORE,7,7,4,921900.12,1
1995-03-20,BFS_SINGAPORE,5,9,3,664641.62,1
1995-03-21,BFS_SINGAPORE,4,7,4,531842.85,1
1995-03-22,BFS_SINGAPORE,6,8,3,799853.93,1
1995-03-23,BFS_SINGAPORE,6,6,3,799084.84,1
1995-03-24,BFS_SINGAPORE,7,6,3,934964.09,1
1995-03-25,BFS_SINGAPORE,4,7,5,534596.46,1
1995-03-26,BFS_SINGAPORE,4,6,3,539931.07,1
1995-03-27,BFS_SINGAPORE,6,7,3,812833.95,1
1995-03-28,BFS_SINGAPORE,8,5,3,1090821.71,1
1995-03-29,BFS_SINGAPORE,6,7,5,818755.49,1
1995-03-30,BFS_SINGAPORE,7,6,3,956227.31,1
1995-03-31,BFS_SINGAPORE,5,7,2,676559.52,1
1995-04-01,BFS_SINGAPORE,5,5,4,676659.2,1
1995-04-02,BFS_SINGAPORE,5,6,2,674179.9,1
1995-04-03,BFS_SINGAPORE,6,5,4,810262.87,1
1995-04-04,BFS_SINGAPORE,7,6,3,944756.13,1
1995-04-05,BFS_SINGAPORE,7,6,3,959760.83,1
1995-04-06,BFS_SINGAPORE,6,7,3,823423.54,1
1995-04-07,BFS_SINGAPORE,6,6,1,816284.74,1
1995-04-08,BFS_SINGAPORE,5,5,4,673741.73,1
1995-04-09,BFS_SINGAPORE,5,8,2,679770.31,1
1995-04-10,BFS_SINGAPORE,6,8,3,817665.69,1
1995-04-11,BFS_SINGAPORE,8,6,4,1105068.84,1
1995-04-12,BFS_SINGAPORE,5,7,4,691166.87,1
1995-04-13,BFS_SINGAPORE,7,6,3,957272.73,1
1995-04-14,BFS_SINGAPORE,8,7,4,1104419.04,1
1995-04-15,BFS_SINGAPORE,7,8,3,967477.99,1
1995-04-16,BFS_SINGAPORE,9,10,3,1261610.79,1
1995-04-17,BFS_SINGAPORE,9,7,3,1262396.27,1
1995-04-18,BFS_SINGAPORE,5,6,3,696859.7,1
1995-04-19,BFS_SINGAPORE,4,8,2,554943.41,1
1995-04-20,BFS_SINGAPORE,7,8,3,963407.84,1
1995-04-21,BFS_SINGAPORE,5,7,2,691187.35,1
1995-04-22,BFS_SINGAPORE,6,8,2,838717.83,1
1995-04-23,BFS_SINGAPORE,5,8,2,701445.87,1
1995-04-24,BFS_SINGAPORE,6,9,4,838874.52,1
1995-04-25,BFS_SINGAPORE,8,8,3,1115737.15,1
1995-04-26,BFS_SINGAPORE,4,4,4,559616.16,1
1995-04-27,BFS_SINGAPORE,6,10,2,848160.0,1
1995-04-28,BFS_SINGAPORE,5,7,2,700175.34,1
1995-04-29,BFS_SINGAPORE,4,6,5,559898.62,1
1995-04-30,BFS_SINGAPORE,5,7,3,684796.78,1
1995-05-01,BFS_SINGAPORE,7,5,3,957441.02,1
1995-05-02,BFS_SINGAPORE,8,6,3,1109162.02,1
1995-05-03,BFS_SINGAPORE,8,7,2,1112813.2,1
1995-05-04,BFS_SINGAPORE,6,5,3,832958.28,1
1995-05-05,BFS_SINGAPORE,3,7,4,419544.38,1
1995-05-06,BFS_SINGAPORE,5,8,4,700238.05,1
1995-05-07,BFS_SINGAPORE,5,4,3,689931.94,1
1995-05-08,BFS_SINGAPORE,6,7,3,835934.05,1
1995-05-09,BFS_SINGAPORE,3,6,3,423050.89,1
1995-05-10,BFS_SINGAPORE,6,8,4,837339.7,1
1995-05-11,BFS_SINGAPORE,8,5,2,1126387.94,1
1995-05-12,BFS_SINGAPORE,4,6,3,560411.61,1
1995-05-13,BFS_SINGAPORE,6,8,2,821027.15,1
1995-05-14,BFS_SINGAPORE,6,8,2,822875.82,1
1995-05-15,BFS_SINGAPORE,7,7,4,948180.23,1
1995-05-16,BFS_SINGAPORE,6,7,4,809615.22,1
1995-05-17,BFS_SINGAPORE,6,8,3,819157.24,1
1995-05-18,BFS_SINGAPORE,10,5,4,1362672.25,1
1995-05-19,BFS_SINGAPORE,3,6,2,406875.92,1
1995-05-20,BFS_SINGAPORE,6,6,4,814279.15,1
1995-05-21,BFS_SINGAPORE,5,9,2,676724.89,1
1995-05-22,BFS_SINGAPORE,5,7,5,676961.77,1
