date,entity_id,front_back_same_user,signoff_count,audit_recommendation_ignored,fraud_label
1995-01-09,BFS_SINGAPORE,0,2,0,0
1995-01-10,BFS_SINGAPORE,0,2,0,0
1995-01-11,BFS_SINGAPORE,0,2,0,0
1995-01-12,BFS_SINGAPORE,0,2,0,0
1995-01-13,BFS_SINGAPORE,0,2,0,0
1995-01-16,BFS_SINGAPORE,0,2,0,0
1995-01-17,BFS_SINGAPORE,0,2,0,0
1995-01-18,BFS_SINGAPORE,0,2,0,0
1995-01-19,BFS_SINGAPORE,0,2,0,0
1995-01-20,BFS_SINGAPORE,0,2,0,0
1995-01-23,BFS_SINGAPORE,0,1,0,0
1995-01-24,BFS_SINGAPORE,0,2,0,0
1995-01-25,BFS_SINGAPORE,0,2,0,0
1995-01-26,BFS_SINGAPORE,0,2,0,0
1995-01-27,BFS_SINGAPORE,0,2,0,0
1995-01-30,BFS_SINGAPORE,0,2,0,0
1995-01-31,BFS_SINGAPORE,0,1,0,0
1995-02-01,BFS_SINGAPORE,0,2,0,0
1995-02-02,BFS_SINGAPORE,1,2,0,0
1995-02-03,BFS_SINGAPORE,0,2,0,0
1995-02-06,BFS_SINGAPORE,0,2,0,0
1995-02-07,BFS_SINGAPORE,0,2,0,0
1995-02-08,BFS_SINGAPORE,0,2,0,0
1995-02-09,BFS_SINGAPORE,0,2,0,0
1995-02-10,BFS_SINGAPORE,0,2,0,0
1995-02-13,BFS_SINGAPORE,0,1,0,0
1995-02-14,BFS_SINGAPORE,0,2,0,0
1995-02-15,BFS_SINGAPORE,1,2,0,0
1995-02-16,BFS_SINGAPORE,0,2,0,0
1995-02-17,BFS_SINGAPORE,0,2,0,0
1995-02-20,BFS_SINGAPORE,0,2,0,0
1995-02-21,BFS_SINGAPORE,0,2,0,0
1995-02-22,BFS_SINGAPORE,0,2,0,0
1995-02-23,BFS_SINGAPORE,0,2,0,0
1995-02-24,BFS_SINGAPORE,0,2,0,0
1995-02-27,BFS_SINGAPORE,0,2,0,0
1995-02-28,BFS_SINGAPORE,0,2,0,0
1995-03-01,BFS_SINGAPORE,0,2,0,0
1995-03-02,BFS_SINGAPORE,1,2,0,0
1995-03-03,BFS_SINGAPORE,0,2,0,0
1995-03-04,BFS_SINGAPORE,0,2,0,0
1995-03-05,BFS_SINGAPORE,0,2,0,0
1995-03-06,BFS_SINGAPORE,0,2,0,0
1995-03-07,BFS_SINGAPORE,0,1,0,0
1995-03-08,BFS_SINGAPORE,0,2,0,0
1995-03-09,BFS_SINGAPORE,0,2,0,0
1995-03-10,BFS_SINGAPORE,0,2,0,0
1995-03-11,BFS_SINGAPORE,0,2,0,0
1995-03-12,BFS_SINGAPORE,0,2,0,0
1995-03-13,BFS_SINGAPORE,1,2,0,0
1995-03-14,BFS_SINGAPORE,0,2,0,0
1995-03-15,BFS_SINGAPORE,0,2,0,0
1995-03-16,BFS_SINGAPORE,1,2,0,0
1995-03-17,BFS_SINGAPORE,1,2,0,0
1995-03-18,BFS_SINGAPORE,1,2,0,0
1995-03-19,BFS_SINGAPORE,0,2,0,0
1995-03-20,BFS_SINGAPORE,0,2,0,0
1995-03-21,BFS_SINGAPORE,0,2,0,0
1995-03-22,BFS_SINGAPORE,1,2,0,0
1995-03-23,BFS_SINGAPORE,0,2,0,0
1995-03-24,BFS_SINGAPORE,0,2,0,0
1995-03-25,BFS_SINGAPORE,0,2,0,0
1995-03-26,BFS_SINGAPORE,0,2,0,0
1995-03-27,BFS_SINGAPORE,0,2,0,0
1995-03-28,BFS_SINGAPORE,0,2,0,0
1995-03-29,BFS_SINGAPORE,0,2,0,0
1995-03-30,BFS_SINGAPORE,0,2,0,0
1995-03-31,BFS_SINGAPORE,0,2,0,0
1995-04-01,BFS_SINGAPORE,0,2,0,0
1995-04-02,BFS_SINGAPORE,0,2,0,0
1995-04-03,BFS_SINGAPORE,0,2,0,0
1995-04-04,BFS_SINGAPORE,1,2,0,0
1995-04-05,BFS_SINGAPORE,0,2,0,0
1995-04-06,BFS_SINGAPORE,0,2,0,0
1995-04-07,BFS_SINGAPORE,0,2,0,0
1995-04-08,BFS_SINGAPORE,1,2,0,0
1995-04-09,BFS_SINGAPORE,0,2,0,0
1995-04-10,BFS_SINGAPORE,0,2,0,0
1995-04-11,BFS_SINGAPORE,1,2,0,0
1995-04-12,BFS_SINGAPORE,1,1,0,0
1995-04-13,BFS_SINGAPORE,0,2,0,0
1995-04-14,BFS_SINGAPORE,0,1,0,0
1995-04-15,BFS_SINGAPORE,0,2,0,0
1995-04-16,BFS_SINGAPORE,0,2,0,0
1995-04-17,BFS_SINGAPORE,0,2,0,0
1995-04-18,BFS_SINGAPORE,0,2,0,0
1995-04-19,BFS_SINGAPORE,0,2,0,0
1995-04-20,BFS_SINGAPORE,0,1,0,0
1995-04-21,BFS_SINGAPORE,0,2,0,0
1995-04-22,BFS_SINGAPORE,0,2,0,0
1995-04-23,BFS_SINGAPORE,0,2,0,0
1995-04-24,BFS_SINGAPORE,0,2,0,0
1995-04-25,BFS_SINGAPORE,0,2,0,0
1995-04-26,BFS_SINGAPORE,0,2,0,0
1995-04-27,BFS_SINGAPORE,0,2,0,0
1995-04-28,BFS_SINGAPORE,0,2,0,0
1995-04-29,BFS_SINGAPORE,0,2,0,0
1995-04-30,BFS_SINGAPORE,0,2,0,0
1995-05-01,BFS_SINGAPORE,0,2,0,0
1995-05-02,BFS_SINGAPORE,0,2,0,0
1995-05-03,BFS_SINGAPORE,0,2,0,0
1995-05-04,BFS_SINGAPORE,0,2,0,0
1995-05-05,BFS_SINGAPORE,0,2,0,0
1995-05-06,BFS_SINGAPORE,0,2,0,0
1995-05-07,BFS_SINGAPORE,0,2,0,0
1995-05-08,BFS_SINGAPORE,0,2,0,0
1995-05-09,BFS_SINGAPORE,0,1,0,0
1995-05-10,BFS_SINGAPORE,0,2,0,0
1995-05-11,BFS_SINGAPORE,1,2,0,0
1995-05-12,BFS_SINGAPORE,0,2,0,0
