date,entity_id,instrument,net_exposure,gross_exposure,leverage_proxy,fraud_label
1995-01-09,BFS_SINGAPORE,NIKKEI_FUT,56456739.59,56456739.59,11.2913,0
1995-01-09,BFS_SINGAPORE,JGB_FUT,-17041544.87,17041544.87,3.4083,0
1995-01-09,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8171694.52,8171694.52,1.6343,0
1995-01-10,BFS_SINGAPORE,NIKKEI_FUT,52997704.7,52997704.7,10.5995,0
1995-01-10,BFS_SINGAPORE,JGB_FUT,-16339333.65,16339333.65,3.2679,0
1995-01-10,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8350161.01,8350161.01,1.67,0
1995-01-11,BFS_SINGAPORE,NIKKEI_FUT,55289089.13,55289089.13,11.0578,0
1995-01-11,BFS_SINGAPORE,JGB_FUT,-18097939.3,18097939.3,3.6196,0
1995-01-11,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8323267.71,8323267.71,1.6647,0
1995-01-12,BFS_SINGAPORE,NIKKEI_FUT,58916205.39,58916205.39,11.7832,0
1995-01-12,BFS_SINGAPORE,JGB_FUT,-17667264.04,17667264.04,3.5335,0
1995-01-12,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9452636.2,9452636.2,1.8905,0
1995-01-13,BFS_SINGAPORE,NIKKEI_FUT,55917641.14,55917641.14,11.1835,0
1995-01-13,BFS_SINGAPORE,JGB_FUT,-16985313.29,16985313.29,3.3971,0
1995-01-13,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8550160.59,8550160.59,1.71,0
1995-01-16,BFS_SINGAPORE,NIKKEI_FUT,54217454.68,54217454.68,10.8435,0
1995-01-16,BFS_SINGAPORE,JGB_FUT,-15726102.47,15726102.47,3.1452,0
1995-01-16,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8762487.03,8762487.03,1.7525,0
1995-01-17,BFS_SINGAPORE,NIKKEI_FUT,49610348.48,49610348.48,9.9221,0
1995-01-17,BFS_SINGAPORE,JGB_FUT,-14926917.78,14926917.78,2.9854,0
1995-01-17,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8711158.91,8711158.91,1.7422,0
1995-01-18,BFS_SINGAPORE,NIKKEI_FUT,50851705.66,50851705.66,10.1703,0
1995-01-18,BFS_SINGAPORE,JGB_FUT,-15101497.1,15101497.1,3.0203,0
1995-01-18,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-8777796.83,8777796.83,1.7556,0
1995-01-19,BFS_SINGAPORE,NIKKEI_FUT,56209879.95,56209879.95,11.242,0
1995-01-19,BFS_SINGAPORE,JGB_FUT,-13835690.69,13835690.69,2.7671,0
1995-01-19,BFS_SINGAPORE,NIKKEI_SHORT_VOL,-9127242.03,9127242.03,1.8254,0
1995-01-20,BFS_SINGAPORE,NIKKEI_FUT,51226405.59,51226405.59,10.2453,0
1995-01-20,BFS_SINGAPORE,JGB_FUT,-12802493.15,12802493.15,2.5605,0
