date,entity_id,reported_pnl_total,actual_pnl_total,margin_call_amount,funding_transfer,realized_cash_delta,hidden_loss_total,fraud_label
1995-01-09,BFS_SINGAPORE,-3958238.26,-3958238.26,1187471.48,142496.58,-4100734.83,0.0,0
1995-01-10,BFS_SINGAPORE,-2732308.76,-2732308.76,819692.63,98363.12,-2830671.87,0.0,0
1995-01-11,BFS_SINGAPORE,-4525886.18,-4525886.18,1403024.72,168362.97,-4694249.15,0.0,0
1995-01-12,BFS_SINGAPORE,-4736649.29,-4736649.29,1515727.77,181887.33,-4918536.62,0.0,0
1995-01-13,BFS_SINGAPORE,-5256380.35,-5256380.35,1787169.32,214460.32,-5470840.67,0.0,0
1995-01-16,BFS_SINGAPORE,-6275977.65,-6275977.65,2196592.18,263591.06,-6539568.71,0.0,0
1995-01-17,BFS_SINGAPORE,-13412473.33,-13412473.33,6437987.2,772558.46,-14185031.79,0.0,0
1995-01-18,BFS_SINGAPORE,-14864662.79,-14864662.79,7878271.28,945392.55,-15810055.34,0.0,0
1995-01-19,BFS_SINGAPORE,-9236187.02,-9236187.02,4710455.38,565254.65,-9801441.66,0.0,0
1995-01-20,BFS_SINGAPORE,-7515633.23,-7515633.23,3757816.62,450937.99,-7966571.23,0.0,0
1995-01-23,BFS_SINGAPORE,-10696797.03,-10696797.03,5241430.54,628971.67,-11325768.69,0.0,0
1995-01-24,BFS_SINGAPORE,-10332805.57,-10332805.57,4959746.67,595169.6,-10927975.17,0.0,0
1995-01-25,BFS_SINGAPORE,-8949887.07,-8949887.07,4206446.92,504773.63,-9454660.7,0.0,0
1995-01-26,BFS_SINGAPORE,-8248322.78,-8248322.78,3794228.48,455307.42,-8703630.2,0.0,0
1995-01-27,BFS_SINGAPORE,-6521288.24,-6521288.24,2934579.71,352149.56,-6873437.8,0.0,0
1995-01-30,BFS_SINGAPORE,-10156973.1,-10156973.1,4672207.62,560664.91,-10717638.01,0.0,0
1995-01-31,BFS_SINGAPORE,-10560367.63,-10560367.63,4963372.79,595604.73,-11155972.36,0.0,0
1995-02-01,BFS_SINGAPORE,-10768154.44,-10768154.44,4953351.04,594402.13,-11362556.57,0.0,0
1995-02-02,BFS_SINGAPORE,-8828617.05,-8828617.05,3972877.67,476745.32,-9305362.37,0.0,0
1995-02-03,BFS_SINGAPORE,-7329848.25,-7329848.25,3225133.23,387015.99,-7716864.24,0.0,0
1995-02-06,BFS_SINGAPORE,-7787483.07,-7787483.07,3348617.72,401834.13,-8189317.2,0.0,0
1995-02-07,BFS_SINGAPORE,-4895880.76,-4895880.76,2056269.92,246752.39,-5142633.15,0.0,0
1995-02-08,BFS_SINGAPORE,-7199796.4,-7199796.4,2951916.52,354229.98,-7554026.38,0.0,0
1995-02-09,BFS_SINGAPORE,-5791876.91,-5791876.91,2316750.76,278010.09,-6069887.0,0.0,0
1995-02-10,BFS_SINGAPORE,-5910982.52,-5910982.52,2364393.01,283727.16,-6194709.68,0.0,0
1995-02-13,BFS_SINGAPORE,-8976657.47,-8976657.47,3680429.56,441651.55,-9418309.02,0.0,0
1995-02-14,BFS_SINGAPORE,-8977199.54,-8977199.54,3680651.81,441678.22,-9418877.75,0.0,0
1995-02-15,BFS_SINGAPORE,-9482107.39,-9482107.39,3982485.1,477898.21,-9960005.6,0.0,0
1995-02-16,BFS_SINGAPORE,-10334301.83,-10334301.83,4443749.79,533249.97,-10867551.8,0.0,0
1995-02-17,BFS_SINGAPORE,-10473038.57,-10473038.57,4608136.97,552976.44,-11026015.01,0.0,0
1995-02-20,BFS_SINGAPORE,-9212897.02,-9212897.02,4145803.66,497496.44,-9710393.46,0.0,0
1995-02-21,BFS_SINGAPORE,-9608491.95,-9608491.95,4419906.3,530388.76,-10138880.7,0.0,0
1995-02-22,BFS_SINGAPORE,-12398782.25,-12398782.25,5951415.48,714169.86,-13112952.1,0.0,0
1995-02-23,BFS_SINGAPORE,-13433198.01,-13433198.01,6850930.98,822111.72,-14255309.73,0.0,0
1995-02-24,BFS_SINGAPORE,-13044502.73,-13044502.73,7044031.47,845283.78,-13889786.5,0.0,0
1995-02-27,BFS_SINGAPORE,-14451232.64,-14451232.64,8092690.28,971122.83,-15422355.47,0.0,0
1995-02-28,BFS_SINGAPORE,-9609815.7,-9609815.7,4997104.16,599652.5,-10209468.2,0.0,0
1995-03-01,BFS_SINGAPORE,-11050385.98,-11050385.98,5811607.21,697392.86,-11747778.85,0.0,0
1995-03-02,BFS_SINGAPORE,-10111308.49,-10111308.49,5379941.49,645592.98,-10756901.46,0.0,0
1995-03-03,BFS_SINGAPORE,-10228534.98,-10228534.98,5374305.77,644916.69,-10873451.68,0.0,0
1995-03-04,BFS_SINGAPORE,-14465329.21,-14465329.21,7565198.3,907823.8,-15373153.01,0.0,0
1995-03-05,BFS_SINGAPORE,-14184966.61,-14184966.61,7161928.69,859431.44,-15044398.06,0.0,0
1995-03-06,BFS_SINGAPORE,-8630056.8,-8630056.8,4331523.21,519782.79,-9149839.58,0.0,0
1995-03-07,BFS_SINGAPORE,-10785677.97,-10785677.97,5364509.53,643741.14,-11429419.11,0.0,0
1995-03-08,BFS_SINGAPORE,-11888004.17,-11888004.17,6072882.02,728745.84,-12616750.01,0.0,0
1995-03-09,BFS_SINGAPORE,-13606453.91,-13606453.91,6972369.57,836684.35,-14443138.26,0.0,0
1995-03-10,BFS_SINGAPORE,-14958401.1,-14958401.1,7646415.93,917569.91,-15875971.01,0.0,0
1995-03-11,BFS_SINGAPORE,-11139125.06,-11139125.06,5715631.33,685875.76,-11825000.82,0.0,0
