date,entity_id,reported_pnl_total,actual_pnl_total,margin_call_amount,funding_transfer,realized_cash_delta,hidden_loss_total,fraud_label
1995-01-09,BFS_SINGAPORE,-3870190.71,-4288747.07,1286624.12,154394.89,-4443141.97,418556.36,0
1995-01-10,BFS_SINGAPORE,-3266760.81,-3621442.47,1086432.74,130371.93,-3751814.4,354681.67,0
1995-01-11,BFS_SINGAPORE,-5314597.75,-5792477.12,1795667.91,215480.15,-6007957.26,477879.36,0
1995-01-12,BFS_SINGAPORE,-2454953.49,-2822576.27,903224.4,108386.93,-2930963.19,367622.77,0
1995-01-13,BFS_SINGAPORE,-6596968.61,-7221528.13,2455319.56,294638.35,-7516166.48,624559.52,0
1995-01-16,BFS_SINGAPORE,-5142741.88,-5679068.66,1987674.03,238520.88,-5917589.54,536326.78,0
1995-01-17,BFS_SINGAPORE,-15435353.08,-16856529.64,8091134.23,970936.11,-17827465.75,1421176.56,0
1995-01-18,BFS_SINGAPORE,-18340664.2,-19989824.74,10594607.11,1271352.85,-21261177.59,1649160.54,0
1995-01-19,BFS_SINGAPORE,-9372158.58,-10466846.07,5338091.5,640570.98,-11107417.05,1094687.49,0
1995-01-20,BFS_SINGAPORE,-8157718.8,-9131418.57,4565709.28,547885.11,-9679303.68,973699.77,0
1995-01-23,BFS_SINGAPORE,-11958166.52,-13053077.34,6396007.89,767520.95,-13820598.28,1094910.82,0
1995-01-24,BFS_SINGAPORE,-11456267.82,-12516559.93,6007948.77,720953.85,-13237513.78,1060292.11,0
1995-01-25,BFS_SINGAPORE,-12401363.96,-13516472.99,6352742.3,762329.08,-14278802.06,1115109.02,0
1995-01-26,BFS_SINGAPORE,-10060763.57,-10965409.88,5044088.54,605290.63,-11570700.51,904646.32,0
1995-01-27,BFS_SINGAPORE,-3377606.4,-4194714.05,1887621.32,226514.56,-4421228.61,817107.66,0
1995-01-30,BFS_SINGAPORE,-11417856.83,-12573701.38,5783902.63,694068.32,-13267769.69,1155844.55,0
1995-01-31,BFS_SINGAPORE,-11907744.51,-13026544.61,6122475.97,734697.12,-13761241.73,1118800.1,0
1995-02-01,BFS_SINGAPORE,-12124971.52,-13272004.59,6105122.11,732614.65,-14004619.24,1147033.07,0
1995-02-02,BFS_SINGAPORE,-10779103.72,-11757203.19,5290741.44,634888.97,-12392092.16,978099.47,0
1995-02-03,BFS_SINGAPORE,-2538269.82,-3292830.2,1448845.29,173861.43,-3466691.64,754560.39,0
