date,entity_id,desk_id,trader_id,instrument,account_id,authorized_flag,secret_account_flag,quantity,price,actual_pnl,reported_pnl,hidden_loss,trade_hour,fraud_label
1995-01-09,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,3405.56,19320.0,784663.35,784663.35,0.0,23,0
1995-01-09,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,88888,0,1,1040.66,143.2,-259030.09,-237660.11,21369.98,23,0
1995-01-09,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,450.44,19320.0,-4814380.33,-4417193.96,397186.38,22,0
1995-01-10,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,3855.7,19410.0,677729.25,677729.25,0.0,20,0
1995-01-10,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1097.29,143.0,-144110.69,-132221.56,11889.13,18,0
1995-01-10,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,368.29,19410.0,-4155061.03,-3812268.5,342792.54,17,0
1995-01-11,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,88888,0,1,4010.14,19350.0,-330143.87,-302907.0,27236.87,23,0
1995-01-11,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,88888,0,1,997.47,142.8,-293262.78,-269068.6,24194.18,23,0
1995-01-11,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,394.64,19350.0,-5169070.47,-4742622.15,426448.31,23,0
1995-01-12,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,4442.61,19480.0,1373393.62,1373393.62,0.0,20,0
1995-01-12,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,966.79,142.3,260063.7,260063.7,0.0,19,0
1995-01-12,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,335.79,19480.0,-4456033.58,-4088410.81,367622.77,17,0
1995-01-13,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,5237.96,19260.0,-1735425.96,-1592253.32,143172.64,23,0
1995-01-13,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1198.13,142.0,348890.27,348890.27,0.0,23,0
1995-01-13,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,351.09,19260.0,-5834992.44,-5353605.56,481386.88,23,0
1995-01-16,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,88888,0,1,6081.76,19140.0,-893223.18,-819532.27,73690.91,23,0
1995-01-16,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1333.93,141.9,821861.95,821861.95,0.0,20,0
1995-01-16,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,352.73,19140.0,-5607707.43,-5145071.57,462635.86,18,0
1995-01-17,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,6244.33,18550.0,-6486745.62,-5951589.1,535156.51,23,0
1995-01-17,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,AUTH_MAIN,1,0,1478.93,141.3,369852.92,369852.92,0.0,16,0
1995-01-17,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,AUTH_MAIN,1,0,433.87,18550.0,-10739636.94,-9853616.9,886020.05,20,0
1995-01-18,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,88888,0,1,6864.51,18110.0,-5880176.05,-5395061.53,485114.52,17,0
1995-01-18,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,88888,0,1,1650.26,140.8,-475929.98,-436665.76,39264.22,18,0
1995-01-18,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,484.56,18110.0,-13633718.7,-12508936.91,1124781.79,13,0
1995-01-19,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,7312.79,18320.0,2802093.16,2802093.16,0.0,18,0
1995-01-19,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,88888,0,1,1738.99,140.5,-662216.79,-607583.91,54632.89,20,0
1995-01-19,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,490.32,18320.0,-12606722.44,-11566667.84,1040054.6,18,0
1995-01-20,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_FUT,AUTH_MAIN,1,0,8481.07,18480.0,2671002.84,2671002.84,0.0,17,0
1995-01-20,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,JGB_FUT,88888,0,1,1827.81,140.1,-19641.25,-18020.85,1620.4,20,0
1995-01-20,BFS_SINGAPORE,EQUITY_DERIVATIVES_APAC,NICK_LEESON,NIKKEI_SHORT_VOL,88888,0,1,551.93,18480.0,-11782780.15,-10810700.79,972079.36,23,0
